accuracy,loss,mAP,val_accuracy,val_loss,val_mAP
0.7689784169197083,0.6531155109405518,0.7689784169197083,0.9522058963775635,0.25037121772766113,0.9522058963775635
0.9468135237693787,0.21222056448459625,0.9468135237693787,0.9779411554336548,0.13849912583827972,0.9779411554336548
0.9622774124145508,0.1435568630695343,0.9622774124145508,0.9834558963775635,0.09935301542282104,0.9834558963775635
0.9725866913795471,0.10732252895832062,0.9725866913795471,0.9871323704719543,0.07859821617603302,0.9871323704719543
0.9775070548057556,0.09195467829704285,0.9775070548057556,0.9889705777168274,0.06605416536331177,0.9889705777168274
0.9810215830802917,0.0744924247264862,0.9810215830802917,0.9908088445663452,0.056847527623176575,0.9908088445663452
0.9828959703445435,0.06739086657762527,0.9828959703445435,0.9889705777168274,0.05433941259980202,0.9889705777168274
0.9859418869018555,0.060119498521089554,0.9859418869018555,0.9908088445663452,0.045954085886478424,0.9908088445663452
0.9885191917419434,0.05206582695245743,0.9885191917419434,0.9926470518112183,0.04089932516217232,0.9926470518112183
0.9873477220535278,0.05229952558875084,0.9873477220535278,0.9908088445663452,0.038318999111652374,0.9908088445663452
0.991096556186676,0.044226765632629395,0.991096556186676,0.9926470518112183,0.037857819348573685,0.9926470518112183
0.9882848858833313,0.044060152024030685,0.9882848858833313,0.9908088445663452,0.035773083567619324,0.9908088445663452
0.9871134161949158,0.043804846704006195,0.9871134161949158,0.9926470518112183,0.030768983066082,0.9926470518112183
0.9903936386108398,0.03916425630450249,0.9903936386108398,0.9926470518112183,0.0303018931299448,0.9926470518112183
0.9894564151763916,0.037464506924152374,0.9894564151763916,0.9908088445663452,0.02818991430103779,0.9908088445663452
0.9906279444694519,0.03591213375329971,0.9906279444694519,0.9908088445663452,0.0324147492647171,0.9908088445663452
0.9906279444694519,0.03677622228860855,0.9906279444694519,0.9871323704719543,0.03231791406869888,0.9871323704719543
0.9932052493095398,0.03153350576758385,0.9932052493095398,0.9908088445663452,0.02962598390877247,0.9908088445663452
0.9913308620452881,0.03180299699306488,0.9913308620452881,0.9944853186607361,0.024083295837044716,0.9944853186607361
0.993908166885376,0.028378181159496307,0.993908166885376,0.9908088445663452,0.02825358882546425,0.9908088445663452
0.9932052493095398,0.02932806685566902,0.9932052493095398,0.9926470518112183,0.027681514620780945,0.9926470518112183
0.9915651082992554,0.02992011234164238,0.9915651082992554,0.9926470518112183,0.02514907717704773,0.9926470518112183
0.9922680258750916,0.029450848698616028,0.9922680258750916,0.9889705777168274,0.027019627392292023,0.9889705777168274
0.994142472743988,0.027111472561955452,0.994142472743988,0.9944853186607361,0.023245615884661674,0.9944853186607361
0.9927366375923157,0.02652733027935028,0.9927366375923157,0.9908088445663452,0.025127336382865906,0.9908088445663452
0.9927366375923157,0.024540811777114868,0.9927366375923157,0.9944853186607361,0.02444884367287159,0.9944853186607361
0.9922680258750916,0.02553175576031208,0.9922680258750916,0.9963235259056091,0.020481184124946594,0.9963235259056091
0.993908166885376,0.023743201047182083,0.993908166885376,0.9889705777168274,0.027692805975675583,0.9889705777168274
0.9929709434509277,0.023379536345601082,0.9929709434509277,0.9871323704719543,0.02591521479189396,0.9871323704719543
0.9932052493095398,0.0216437429189682,0.9932052493095398,0.9944853186607361,0.019369276240468025,0.9944853186607361
0.9957825541496277,0.02101195976138115,0.9957825541496277,0.9926470518112183,0.020562931895256042,0.9926470518112183
0.993908166885376,0.02074432373046875,0.993908166885376,0.9963235259056091,0.021107105538249016,0.9963235259056091
0.9932052493095398,0.02230367623269558,0.9932052493095398,0.9944853186607361,0.017609119415283203,0.9944853186607361
0.994142472743988,0.020968718454241753,0.994142472743988,0.9926470518112183,0.019802721217274666,0.9926470518112183
0.994142472743988,0.0195106640458107,0.994142472743988,0.9889705777168274,0.02456032671034336,0.9889705777168274
0.9955482482910156,0.01917974278330803,0.9955482482910156,0.9944853186607361,0.019650964066386223,0.9944853186607361
0.9950796365737915,0.01791931688785553,0.9950796365737915,0.9963235259056091,0.016733676195144653,0.9963235259056091
0.9967197775840759,0.01586054265499115,0.9967197775840759,0.9944853186607361,0.017423421144485474,0.9944853186607361
0.9936738610267639,0.02205994725227356,0.9936738610267639,0.9944853186607361,0.017583316192030907,0.9944853186607361
0.994142472743988,0.018751634284853935,0.994142472743988,0.9908088445663452,0.021296897903084755,0.9908088445663452
0.9960168600082397,0.016993025317788124,0.9960168600082397,0.9944853186607361,0.01953965798020363,0.9944853186607361
0.994142472743988,0.019152887165546417,0.994142472743988,0.9908088445663452,0.02283448912203312,0.9908088445663452
0.9964854717254639,0.01610179990530014,0.9964854717254639,0.9926470518112183,0.015676116570830345,0.9926470518112183
0.9946110844612122,0.01646007038652897,0.9946110844612122,0.9963235259056091,0.014407462440431118,0.9963235259056091
0.9936738610267639,0.018587516620755196,0.9936738610267639,0.9963235259056091,0.01724783331155777,0.9963235259056091
0.9950796365737915,0.016113990917801857,0.9950796365737915,0.9944853186607361,0.022809505462646484,0.9944853186607361
0.9946110844612122,0.017020678147673607,0.9946110844612122,0.9944853186607361,0.019325749948620796,0.9944853186607361
0.9960168600082397,0.015391681343317032,0.9960168600082397,0.9908088445663452,0.023541366681456566,0.9908088445663452
0.9925023317337036,0.023474782705307007,0.9925023317337036,0.9963235259056091,0.013419504277408123,0.9963235259056091
0.9955482482910156,0.014744207262992859,0.9955482482910156,0.9889705777168274,0.024346599355340004,0.9889705777168274
